,bag names,Links
11,zikrefast,https://www.flipkart.com//zikrefast-medium-35-l-backpack-premium-quality-school-casual/p/itm082ed18453775?pid=BKPGHHZCEYJTAVJ3&lid=LSTBKPGHHZCEYJTAVJ3OGTRR6&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_edonLXjM0GYD0F5OYhFmAdr1cwioPG2mOo191G%2FvPZCLKQtphxi8WP5%2BXeEDTIfpTtdjQkqYaGjYnhd3J6zpeA%3D%3D&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
12,Flycraft,https://www.flipkart.com//flycraft-simn-1552-1-orange-black-office-travel-laptop-backpack-35-l/p/itm27ae7aa8015ca?pid=BKPG54H3GBNAHT3M&lid=LSTBKPG54H3GBNAHT3MKWI4YB&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPG54H3GBNAHT3M.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
13,SAFARI,https://www.flipkart.com//safari-spreeusb-19-casual-backpack-blue-29-l-medium/p/itmf8j9zfgpe3u9z?pid=BKPF8J8AWDJ9EEFE&lid=LSTBKPF8J8AWDJ9EEFEHQYYJE&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPF8J8AWDJ9EEFE.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
14,PROVOGUE,https://www.flipkart.com//provogue-unisex-bag-rain-cover-office-school-college-businessc-45l-45-l-backpack/p/itm843d57f1dd56d?pid=BKPGHRZDD9WTEGDY&lid=LSTBKPGHRZDD9WTEGDYOGCX25&marketplace=FLIPKART&q=bags&store=search.flipkart.com&spotlightTagId=BestvalueId_search.flipkart.com&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPGHRZDD9WTEGDY.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
15,SHOPPOFOBIX,https://www.flipkart.com//shoppofobix-brown-sling-bag-men/p/itm1198eed3987d0?pid=SLBGM6RYERPZMCHD&lid=LSTSLBGM6RYERPZMCHDBTG38C&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_edonLXjM0GYD0F5OYhFmAdr1cwioPG2mOo191G%2FvPZDt71HGQ8eZcAEitJpLvEJnIJLP4nqp6%2FS8aO%2BlyUJsIg%3D%3D&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
16,Arctic Fox,https://www.flipkart.com//arctic-fox-black-drawstring-bag-15-l-backpack/p/itmc900936430027?pid=BKPFWGJSZU7NWCRH&lid=LSTBKPFWGJSZU7NWCRHURDIP3&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPFWGJSZU7NWCRH.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
17,PROVOGUE,https://www.flipkart.com//provogue-unisex-bag-rain-cover-office-school-college-businessb-45l-45-l-backpack/p/itmddff689d5a451?pid=BKPGHS2VSRNHEGJV&lid=LSTBKPGHS2VSRNHEGJVELDJYV&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPGHS2VSRNHEGJV.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
18,ZCRAFT,https://www.flipkart.com//zcraft-daypack-bags-backpack-daily-use-library-office-outdoor-hiking-25-l/p/itmd8696c5afd7af?pid=BKPGH9K83TNYHFNC&lid=LSTBKPGH9K83TNYHFNCZLQB4Q&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPGH9K83TNYHFNC.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
19,perfactstar,https://www.flipkart.com//perfactstar-perfect-star-trekking-backpack-bag-75l-75-l/p/itm5929435d2f8e0?pid=BKPGBBPZ6HRXNUP7&lid=LSTBKPGBBPZ6HRXNUP7XXNQEY&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_edonLXjM0GYD0F5OYhFmAdr1cwioPG2mOo191G%2FvPZBMudOOy72u3BhkGmKRJ7MGjE6SpxrD45KTcaBJBI0%2Faw%3D%3D&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
20,WROGN,https://www.flipkart.com//wrogn-axe-unisex-laptop-college-school-travel-backpack-35-l/p/itmcf0c3ce6587a5?pid=BKPGJNVVPY9JDH2R&lid=LSTBKPGJNVVPY9JDH2RPP7HID&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPGJNVVPY9JDH2R.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
